title	organization	location	mode	duration_weeks	stipend_per_month	description	requirements	req_1	req_2	req_3	req_4	req_5	req_6
Project Management Intern (PMIS)	PilotWorks PMIS 145	Jaipur	Onsite	12	15000	Project Management Intern (PMIS) at PilotWorks PMIS 145 in Jaipur â€” focused on Planning, Stakeholder Mgmt, Gantt.	Planning, Stakeholder Mgmt, Gantt	Planning	Stakeholder Mgmt	Gantt			
PMO Analyst Intern	CorePMO 146	Lucknow	Onsite	12	15000	PMO Analyst Intern at CorePMO 146 in Lucknow â€” focused on PMO Support, Reporting, Excel.	PMO Support, Reporting, Excel	PMO Support	Reporting	Excel			
Project Controls & PMIS Intern	Constructive PMIS 147	Bhopal	Onsite	12	15000	Project Controls & PMIS Intern at Constructive PMIS 147 in Bhopal â€” focused on Schedule Mgmt, EVM, Primavera P6.	Schedule Mgmt, EVM, Primavera P6	Schedule Mgmt	EVM	Primavera P6			
PMIS Implementation Intern	Rollout PMIS 148	Patna	Onsite	12	15000	PMIS Implementation Intern at Rollout PMIS 148 in Patna â€” focused on Implementation, User Onboarding, Confluence.	Implementation, User Onboarding, Confluence	Implementation	User Onboarding	Confluence			
PMIS QA Intern	Inspect PMIS 149	Chandigarh	Onsite	12	15000	PMIS QA Intern at Inspect PMIS 149 in Chandigarh â€” focused on Testing, QA, Jira.	Testing, QA, Jira	Testing	QA	Jira			
PMIS Dashboard Intern	DataCraft PMIS 150	Gurgaon	Onsite	12	25000	PMIS Dashboard Intern at DataCraft PMIS 150 in Gurgaon â€” focused on Power BI, Visualization, DAX.	Power BI, Visualization, DAX	Power BI	Visualization	DAX			
PMIS Automation Intern	Bot PMIS 151	Noida	Onsite	12	25000	PMIS Automation Intern at Bot PMIS 151 in Noida â€” focused on Automation, Python, APIs.	Automation, Python, APIs	Automation	Python	APIs			
EVM & PMIS Intern	CostWorks PMIS 152	Kochi	Onsite	12	15000	EVM & PMIS Intern at CostWorks PMIS 152 in Kochi â€” focused on EVM, Cost Reports, MS Project.	EVM, Cost Reports, MS Project	EVM	Cost Reports	MS Project			
PMIS Business Analyst Intern	Analytica PMIS 153	Thiruvananthapuram	Onsite	12	15000	PMIS Business Analyst Intern at Analytica PMIS 153 in Thiruvananthapuram â€” focused on Requirements, BPMN, Excel.	Requirements, BPMN, Excel	Requirements	BPMN	Excel			
PMIS Support Intern	Assist PMIS 154	Surat	Onsite	12	15000	PMIS Support Intern at Assist PMIS 154 in Surat â€” focused on Helpdesk, Troubleshooting, Documentation.	Helpdesk, Troubleshooting, Documentation	Helpdesk	Troubleshooting	Documentation			
PMIS Data Engineer Intern	ETLPro PMIS 155	Vadodara	Onsite	12	15000	PMIS Data Engineer Intern at ETLPro PMIS 155 in Vadodara â€” focused on ETL, SQL, Data Integration.	ETL, SQL, Data Integration	ETL	SQL	Data Integration			
PMIS Testing Intern	QAPro PMIS 156	Nagpur	Onsite	12	15000	PMIS Testing Intern at QAPro PMIS 156 in Nagpur â€” focused on Test Cases, Automation, Jira.	Test Cases, Automation, Jira	Test Cases	Automation	Jira			
PMIS Configuration Intern	ConfigPro PMIS 157	Indore	Onsite	12	15000	PMIS Configuration Intern at ConfigPro PMIS 157 in Indore â€” focused on System Config, Admin, SharePoint.	System Config, Admin, SharePoint	System Config	Admin	SharePoint			
PMIS Migration Intern	Switch PMIS 158	Dehradun	Onsite	12	15000	PMIS Migration Intern at Switch PMIS 158 in Dehradun â€” focused on Migration, ETL, Reconciliation.	Migration, ETL, Reconciliation	Migration	ETL	Reconciliation			
PMIS & Primavera Intern	PlanWorks PMIS 159	Mangalore	Onsite	12	15000	PMIS & Primavera Intern at PlanWorks PMIS 159 in Mangalore â€” focused on Primavera P6, Schedule Mgmt, Risk.	Primavera P6, Schedule Mgmt, Risk	Primavera P6	Schedule Mgmt	Risk			
PMIS Power BI Intern	Insightful PMIS 160	Ranchi	Onsite	12	15000	PMIS Power BI Intern at Insightful PMIS 160 in Ranchi â€” focused on Power BI, Dashboards, SQL.	Power BI, Dashboards, SQL	Power BI	Dashboards	SQL			
PMIS Intern	AxisCore PMIS 161	Bhubaneswar	Onsite	12	15000	PMIS Intern at AxisCore PMIS 161 in Bhubaneswar â€” focused on MS Project, PMO Reporting, Excel.	MS Project, PMO Reporting, Excel	MS Project	PMO Reporting	Excel			
Project Controls Intern	ForgeWorks PMIS 162	Guwahati	Onsite	12	15000	Project Controls Intern at ForgeWorks PMIS 162 in Guwahati â€” focused on EVM, Budgeting, Primavera.	EVM, Budgeting, Primavera	EVM	Budgeting	Primavera			
PMIS Reporting Intern	DataLens PMIS 163	Shillong	Onsite	12	15000	PMIS Reporting Intern at DataLens PMIS 163 in Shillong â€” focused on Power BI, Report Design, SQL.	Power BI, Report Design, SQL	Power BI	Report Design	SQL			
PMIS Data Integration Intern	SyncWorks PMIS 164	Goa	Onsite	12	15000	PMIS Data Integration Intern at SyncWorks PMIS 164 in Goa â€” focused on Data Integration, ETL, API.	Data Integration, ETL, API	Data Integration	ETL	API			
Project Management Intern (PMIS)	Guide PMIS 165	Remote	Remote	12	10000	Project Management Intern (PMIS) at Guide PMIS 165 (Remote) â€” focused on Project Coordination, Gantt, Stakeholder Comm.	Project Coordination, Gantt, Stakeholder Comm.	Project Coordination	Gantt	Stakeholder Comm.			
PMO Analyst Intern	Hub PMIS 166	Delhi	Onsite	12	25000	PMO Analyst Intern at Hub PMIS 166 in Delhi â€” focused on PMO Admin, Reporting, Excel.	PMO Admin, Reporting, Excel	PMO Admin	Reporting	Excel			
Project Controls & PMIS Intern	Builder PMIS 167	Mumbai	Onsite	12	25000	Project Controls & PMIS Intern at Builder PMIS 167 in Mumbai â€” focused on Schedule Control, EVM, Primavera P6.	Schedule Control, EVM, Primavera P6	Schedule Control	EVM	Primavera P6			
PMIS Implementation Intern	SetupWorks PMIS 168	Bangalore	Onsite	12	25000	PMIS Implementation Intern at SetupWorks PMIS 168 in Bangalore â€” focused on Implementation, Training, Confluence.	Implementation, Training, Confluence	Implementation	Training	Confluence			
PMIS QA Intern	Quality PMIS 169	Hyderabad	Onsite	12	25000	PMIS QA Intern at Quality PMIS 169 in Hyderabad â€” focused on QA Testing, Bug Tracking, Jira.	QA Testing, Bug Tracking, Jira	QA Testing	Bug Tracking	Jira			
PMIS Dashboard Intern	DashLine PMIS 170	Chennai	Onsite	12	25000	PMIS Dashboard Intern at DashLine PMIS 170 in Chennai â€” focused on Power BI, Visuals, DAX.	Power BI, Visuals, DAX	Power BI	Visuals	DAX			
PMIS Automation Intern	Script PMIS 171	Pune	Onsite	12	25000	PMIS Automation Intern at Script PMIS 171 in Pune â€” focused on Scripting, Python, Automation.	Scripting, Python, Automation	Scripting	Python	Automation			
EVM & PMIS Intern	Forecast PMIS 172	Kolkata	Onsite	12	25000	EVM & PMIS Intern at Forecast PMIS 172 in Kolkata â€” focused on EVM, Forecasting, Cost Control.	EVM, Forecasting, Cost Control	EVM	Forecasting	Cost Control			
PMIS Business Analyst Intern	Blueprint PMIS 173	Ahmedabad	Onsite	12	15000	PMIS Business Analyst Intern at Blueprint PMIS 173 in Ahmedabad â€” focused on Requirements, Process Flows, Excel.	Requirements, Process Flows, Excel	Requirements	Process Flows	Excel			
PMIS Support Intern	HelpDesk PMIS 174	Jaipur	Onsite	12	15000	PMIS Support Intern at HelpDesk PMIS 174 in Jaipur â€” focused on User Support, Documentation, Training.	User Support, Documentation, Training	User Support	Documentation	Training			
PMIS Data Engineer Intern	DataCraft PMIS 175	Lucknow	Onsite	12	15000	PMIS Data Engineer Intern at DataCraft PMIS 175 in Lucknow â€” focused on ETL, Warehousing, SQL.	ETL, Warehousing, SQL	ETL	Warehousing	SQL			
PMIS Testing Intern	TestPro PMIS 176	Bhopal	Onsite	12	15000	PMIS Testing Intern at TestPro PMIS 176 in Bhopal â€” focused on Automation, QA, Jira.	Automation, QA, Jira	Automation	QA	Jira			
PMIS Configuration Intern	AdminWorks PMIS 177	Patna	Onsite	12	15000	PMIS Configuration Intern at AdminWorks PMIS 177 in Patna â€” focused on Config, Roles, Permissions.	Config, Roles, Permissions	Config	Roles	Permissions			
PMIS Migration Intern	Migrate PMIS 178	Chandigarh	Onsite	12	15000	PMIS Migration Intern at Migrate PMIS 178 in Chandigarh â€” focused on Data Migration, Validation, ETL.	Data Migration, Validation, ETL	Data Migration	Validation	ETL			
PMIS & Primavera Intern	Planner PMIS 179	Gurgaon	Onsite	12	25000	PMIS & Primavera Intern at Planner PMIS 179 in Gurgaon â€” focused on Primavera P6, Float Analysis, Scheduling.	Primavera P6, Float Analysis, Scheduling	Primavera P6	Float Analysis	Scheduling			
PMIS Power BI Intern	Visualize PMIS 180	Noida	Onsite	12	25000	PMIS Power BI Intern at Visualize PMIS 180 in Noida â€” focused on Power BI, KPI Building, SQL.	Power BI, KPI Building, SQL	Power BI	KPI Building	SQL			
PMIS Intern	ProjectPulse PMIS 181	Kochi	Onsite	12	15000	PMIS Intern at ProjectPulse PMIS 181 in Kochi â€” focused on MS Project, PMO Assistance, Excel.	MS Project, PMO Assistance, Excel	MS Project	PMO Assistance	Excel			
Project Controls Intern	Capital PMIS 182	Thiruvananthapuram	Onsite	12	15000	Project Controls Intern at Capital PMIS 182 in Thiruvananthapuram â€” focused on Cost Reports, EVM, Primavera.	Cost Reports, EVM, Primavera	Cost Reports	EVM	Primavera			
PMIS Reporting Intern	ClarityWorks PMIS 183	Surat	Onsite	12	15000	PMIS Reporting Intern at ClarityWorks PMIS 183 in Surat â€” focused on Power BI, Reporting, DAX.	Power BI, Reporting, DAX	Power BI	Reporting	DAX			
PMIS Data Integration Intern	PipelineWorks PMIS 184	Vadodara	Onsite	12	15000	PMIS Data Integration Intern at PipelineWorks PMIS 184 in Vadodara â€” focused on ETL, API, Data Mapping.	ETL, API, Data Mapping	ETL	API	Data Mapping			
Project Management Intern (PMIS)	Steer PMIS 185	Nagpur	Onsite	12	15000	Project Management Intern (PMIS) at Steer PMIS 185 in Nagpur â€” focused on Project Planning, Stakeholder Mgmt, Gantt.	Project Planning, Stakeholder Mgmt, Gantt	Project Planning	Stakeholder Mgmt	Gantt			
PMO Analyst Intern	Center PMIS 186	Indore	Onsite	12	15000	PMO Analyst Intern at Center PMIS 186 in Indore â€” focused on Resource Scheduling, Reporting, Excel.	Resource Scheduling, Reporting, Excel	Resource Scheduling	Reporting	Excel			
Project Controls & PMIS Intern	Construct PMIS 187	Dehradun	Onsite	12	15000	Project Controls & PMIS Intern at Construct PMIS 187 in Dehradun â€” focused on EVM, Schedule Recovery, Primavera P6.	EVM, Schedule Recovery, Primavera P6	EVM	Schedule Recovery	Primavera P6			
PMIS Implementation Intern	Enable PMIS 188	Mangalore	Onsite	12	15000	PMIS Implementation Intern at Enable PMIS 188 in Mangalore â€” focused on Deployment, User Training, Confluence.	Deployment, User Training, Confluence	Deployment	User Training	Confluence			
PMIS QA Intern	VerifyWorks PMIS 189	Ranchi	Onsite	12	15000	PMIS QA Intern at VerifyWorks PMIS 189 in Ranchi â€” focused on QA, Test Plans, Jira.	QA, Test Plans, Jira	QA	Test Plans	Jira			
PMIS Dashboard Intern	ReportLab PMIS 190	Bhubaneswar	Onsite	12	15000	PMIS Dashboard Intern at ReportLab PMIS 190 in Bhubaneswar â€” focused on Power BI, Dashboards, SQL.	Power BI, Dashboards, SQL	Power BI	Dashboards	SQL			
PMIS Automation Intern	FlowAuto PMIS 191	Guwahati	Onsite	12	15000	PMIS Automation Intern at FlowAuto PMIS 191 in Guwahati â€” focused on Automation, Python, APIs.	Automation, Python, APIs	Automation	Python	APIs			
EVM & PMIS Intern	BudgetEdge PMIS 192	Shillong	Onsite	12	15000	EVM & PMIS Intern at BudgetEdge PMIS 192 in Shillong â€” focused on EVM, Cost Mgmt, MS Project.	EVM, Cost Mgmt, MS Project	EVM	Cost Mgmt	MS Project			
PMIS Business Analyst Intern	ProcessLab PMIS 193	Goa	Onsite	12	15000	PMIS Business Analyst Intern at ProcessLab PMIS 193 in Goa â€” focused on Analysis, BPMN, Requirements.	Analysis, BPMN, Requirements	Analysis	BPMN	Requirements			
PMIS Support Intern	ClientFirst PMIS 194	Remote	Remote	12	10000	PMIS Support Intern at ClientFirst PMIS 194 (Remote) â€” focused on User Support, Troubleshooting, Docs.	User Support, Troubleshooting, Docs	User Support	Troubleshooting	Docs			
PMIS Data Engineer Intern	DataWorks PMIS 195	Delhi	Onsite	12	25000	PMIS Data Engineer Intern at DataWorks PMIS 195 in Delhi â€” focused on ETL, Data Pipelines, SQL.	ETL, Data Pipelines, SQL	ETL	Data Pipelines	SQL			
PMIS Testing Intern	QAWorksPro PMIS 196	Mumbai	Onsite	12	25000	PMIS Testing Intern at QAWorksPro PMIS 196 in Mumbai â€” focused on Test Automation, QA, Jira.	Test Automation, QA, Jira	Test Automation	QA	Jira			
PMIS Configuration Intern	ConfigEdge PMIS 197	Bangalore	Onsite	12	25000	PMIS Configuration Intern at ConfigEdge PMIS 197 in Bangalore â€” focused on System Config, Admin, SharePoint.	System Config, Admin, SharePoint	System Config	Admin	SharePoint			
PMIS Migration Intern	Transit PMIS 198	Hyderabad	Onsite	12	25000	PMIS Migration Intern at Transit PMIS 198 in Hyderabad â€” focused on Cutover, Data Reconciliation, ETL.	Cutover, Data Reconciliation, ETL	Cutover	Data Reconciliation	ETL			
PMIS & Primavera Intern	TimeLine PMIS 199	Chennai	Onsite	12	25000	PMIS & Primavera Intern at TimeLine PMIS 199 in Chennai â€” focused on Primavera P6, Schedule Integration, Risk.	Primavera P6, Schedule Integration, Risk	Primavera P6	Schedule Integration	Risk			
PMIS Power BI Intern	DashboardPro	Pune	Hybrid	12	25000	Support development of Power BI reports and dashboards for PMIS; work with project data and DAX measures.	Power BI, Reports, DAX, Data modeling, SQL (nice-to-have), attention to detail	Power BI	DAX	Reports	Data Modeling	SQL	Attention to detail
PMIS Intern	ProjectCore	Kolkata	Hybrid	12	15000	Assist PMO with MS Project, reporting and coordination tasks.	MS Project, PMO Support, Reporting, Excel, Communication, Teamwork	MS Project	PMO Support	Reporting	Excel	Communication	Teamwork
Project Controls Intern	CostFlow	Ahmedabad	Hybrid	16	22000	Support cost control activities, Earned Value Management and scheduling using Primavera.	Cost Control, EVM, Primavera, MS Excel, Analytical skills, Attention to detail	Cost Control	EVM	Primavera	MS Excel	Analytical skills	Attention to detail
PMIS Reporting Intern	DataPoint	Jaipur	Onsite	12	18000	Build and maintain PMIS reports using Power BI and SQL.	Power BI, Reports, SQL, Data Visualization, DAX, Communication	Power BI	Reports	SQL	Data Visualization	DAX	Communication
PMIS Data Integration Intern	Conflux	Lucknow	Onsite	12	20000	Develop ETL workflows and API integrations to consolidate project data for PMIS.	ETL, API Integration, Data Mapping, SQL, Python, Data Quality	ETL	API Integration	Data Mapping	SQL	Python	Data Quality
Project Management Intern (PMIS)	Orchestrate	Bhopal	Onsite	12	18000	Assist in project planning, stakeholder communication and Gantt schedule maintenance.	Planning, Stakeholder Communication, Gantt, MS Project, Reporting, Time management	Planning	Stakeholder Communication	Gantt	MS Project	Reporting	Time management
PMO Analyst Intern	Anchor	Patna	Onsite	12	14000	Support PMO tasks, prepare regular reports and maintain project trackers.	PMO Tasks, Reporting, Excel, Data Analysis, Communication, Documentation	PMO Tasks	Reporting	Excel	Data Analysis	Communication	Documentation
Project Controls & PMIS Intern	Foundation	Chandigarh	Onsite	16	22000	Work on schedule control and EVM; use Primavera for schedule updates and recovery.	Schedule Control, EVM, Primavera, Risk Analysis, Excel, Problem solving	Schedule Control	EVM	Primavera	Risk Analysis	Excel	Problem solving
PMIS Implementation Intern	Deliver	Gurgaon	Hybrid	12	28000	Hands-on PMIS platform implementation, end-user training and documentation in Confluence.	Implementation, Training, Confluence, Configuration, Communication, Documentation	Implementation	Training	Confluence	Configuration	Communication	Documentation
PMIS QA Intern	TestLab	Noida	Hybrid	8	15000	Create and execute test cases for PMIS, report defects and work with Jira.	QA, Test Cases, Jira, Test Automation (nice-to-have), Attention to detail, Communication	QA	Test Cases	Jira	Test Automation	Attention to detail	Communication
PMIS Dashboard Intern	VisualEdge	Kochi	Onsite	12	20000	Design KPI dashboards in Power BI and optimize SQL queries for performance.	Power BI, Dashboards, SQL, Data Modeling, Visualization, DAX	Power BI	Dashboards	SQL	Data Modeling	Visualization	DAX
PMIS Automation Intern	AutoFlow	Thiruvananthapuram	Onsite	12	30000	Develop automation scripts and API integrations using Python to streamline PMIS workflows.	Automation, Python, API, Scripting, ETL, Problem solving	Automation	Python	API	Scripting	ETL	Problem solving
EVM & PMIS Intern	CostInsight	Surat	Onsite	12	20000	Perform EVM calculations and cost analysis to support project financials.	EVM, Cost Analysis, MS Project, Excel, Analytical skills, Reporting	EVM	Cost Analysis	MS Project	Excel	Analytical skills	Reporting
PMIS Business Analyst Intern	Reqs	Vadodara	Onsite	12	22000	Gather requirements, model processes using BPMN and prepare PMIS documentation.	Requirements, BPMN, Documentation, Stakeholder Management, Communication, Analytical skills	Requirements	BPMN	Documentation	Stakeholder Management	Communication	Analytical skills
PMIS Support Intern	SupportWorks	Nagpur	Onsite	12	14000	Provide user support, training sessions and maintain knowledge base documentation.	User Support, Training, Documentation, Troubleshooting, Communication, Patience	User Support	Training	Documentation	Troubleshooting	Communication	Patience
PMIS Data Engineer Intern	DataForge	Indore	Onsite	16	35000	Design ETL pipelines, data models and manage PMIS data stores using SQL.	ETL, Data Modeling, SQL, Data Warehousing, Python, Performance tuning	ETL	Data Modeling	SQL	Data Warehousing	Python	Performance tuning
PMIS Testing Intern	QualityEdge	Dehradun	Onsite	8	14000	Support QA activities including test automation and defect tracking in Jira.	QA, Automation, Jira, Test Cases, Scripting, Attention to detail	QA	Automation	Jira	Test Cases	Scripting	Attention to detail
PMIS Configuration Intern	ConfigLab	Mangalore	Onsite	12	18000	Configure PMIS system settings, manage users and maintain SharePoint integrations.	System Admin, Config, SharePoint, User Management, Documentation, Troubleshooting	System Admin	Config	SharePoint	User Management	Documentation	Troubleshooting
PMIS Migration Intern	Move	Ranchi	Onsite	12	20000	Lead data migration activities, reconcile datasets and perform ETL for PMIS migration.	Migration, Data Reconciliation, ETL, SQL, Attention to detail, Backup & restore	Migration	Data Reconciliation	ETL	SQL	Attention to detail	Backup & restore
PMIS & Primavera Intern	Scheduling	Bhubaneswar	Onsite	16	23000	Manage Primavera P6 schedules, control baselines and assess schedule risk.	Primavera P6, Schedule Control, Risk Management, MS Project, Excel, Communication	Primavera P6	Schedule Control	Risk Management	MS Project	Excel	Communication
PMIS Power BI Intern	BIWorks	Guwahati	Onsite	12	22000	Develop Power BI reports, data models and optimize queries for PMIS dashboards.	Power BI, Data Modeling, SQL, DAX, Visualization, Report Design	Power BI	Data Modeling	SQL	DAX	Visualization	Report Design
PMIS Intern	ProjectLink	Shillong	Onsite	12	14000	Support project management tasks using MS Project and assist PMO reporting.	MS Project, PMO, Reporting, Excel, Communication, Time management	MS Project	PMO	Reporting	Excel	Communication	Time management
Project Controls Intern	ControlWorks	Goa	Onsite	12	20000	Track costs, execute EVM and support Primavera schedule updates.	EVM, Cost Tracking, Primavera, Excel, Analytical skills, Teamwork	EVM	Cost Tracking	Primavera	Excel	Analytical skills	Teamwork
PMIS Reporting Intern	ReportEdge	Remote	Remote	12	20000	Create and maintain PMIS reports remotely using Power BI and SQL.	Power BI, Reports, SQL, Data Visualization, Communication, Time management	Power BI	Reports	SQL	Data Visualization	Communication	Time management
PMIS Data Integration Intern	SyncLab	Delhi	Hybrid	12	24000	Build ETL processes, APIs and ensure data quality for PMIS integrations.	ETL, API, Data Quality, SQL, Python, Data Mapping	ETL	API	Data Quality	SQL	Python	Data Mapping
Project Management Intern (PMIS)	Coordinate	Mumbai	Hybrid	12	30000	Assist in project planning, stakeholder management and maintaining Gantt schedules.	Project Plans, Stakeholder Mgmt, Gantt, MS Project, Communication, Reporting	Project Plans	Stakeholder Mgmt	Gantt	MS Project	Communication	Reporting
PMO Analyst Intern	PMOOne	Bangalore	Hybrid	12	25000	Coordinate PMO activities, prepare reports and maintain project dashboards.	PMO Coordination, Reporting, Excel, Data Visualization, Communication, Multitasking	PMO Coordination	Reporting	Excel	Data Visualization	Communication	Multitasking
Project Controls & PMIS Intern	ConstructEdge	Hyderabad	Hybrid	16	28000	Support schedule recovery, EVM analysis and Primavera P6 scheduling.	Schedule Recovery, EVM, Primavera P6, Risk Assessment, Excel, Problem solving	Schedule Recovery	EVM	Primavera P6	Risk Assessment	Excel	Problem solving
PMIS Implementation Intern	Platform	Chennai	Hybrid	12	26000	Lead platform setup, conduct trainings and create implementation documentation.	Platform Setup, Training, Documentation, Configuration, Stakeholder Comm., Confluence	Platform Setup	Training	Documentation	Configuration	Stakeholder Communication	Confluence
PMIS QA Intern	Assurance	Pune	Hybrid	8	16000	Execute PMIS test plans, perform testing and log issues in Jira.	QA, Testing, Jira, Test Cases, Attention to detail, Communication	QA	Testing	Jira	Test Cases	Attention to detail	Communication
PMIS Dashboard Intern	DashCore	Kolkata	Hybrid	12	21000	Design KPI dashboards in Power BI, define metrics and implement SQL-backed reports.	Power BI, KPI Dashboards, SQL, Data Modeling, DAX, Visualization	Power BI	KPI Dashboards	SQL	Data Modeling	DAX	Visualization
PMIS Dashboard Intern	DashCore	Kolkata	Hybrid	12	21000	Design and maintain KPI dashboards in Power BI, implement visuals and optimize datasets for PMIS reporting.	Power BI, KPI Dashboards, SQL, DAX, Data Modeling, Visualization	Power BI	KPI Dashboards	SQL	DAX	Data Modeling	Visualization
PMIS Automation Intern	AutoShift	Ahmedabad	Onsite	12	26000	Develop automation scripts and integrations to streamline PMIS workflows using Python and APIs.	Script Automation, Python, APIs, Scripting, ETL, Debugging	Script Automation	Python	APIs	Scripting	ETL	Debugging
EVM & PMIS Intern	Value	Jaipur	Onsite	12	20000	Support earned value management activities and prepare cost forecasts and variance reports.	EVM, Cost Forecasting, MS Project, Excel, Analytical Skills, Reporting	EVM	Cost Forecasting	MS Project	Excel	Analytical Skills	Reporting
PMIS Business Analyst Intern	Clarify	Lucknow	Onsite	12	22000	Gather and document PMIS requirements, map processes and propose improvements using Excel & BPM techniques.	Process Mapping, Requirements, Excel, BPMN, Stakeholder Communication, Documentation	Process Mapping	Requirements	Excel	BPMN	Stakeholder Communication	Documentation
PMIS Support Intern	HelpCore	Bhopal	Onsite	12	15000	Provide first-line PMIS support, create documentation and run user training sessions.	Support Desk, Documentation, Training, Troubleshooting, Communication, Knowledge Base	Support Desk	Documentation	Training	Troubleshooting	Communication	Knowledge Base
PMIS Data Engineer Intern	DataBridgeWorks	Patna	Hybrid	16	32000	Build ETL pipelines, integrate data sources and design data models for PMIS analytics.	ETL, Data Integration, SQL, Data Modeling, Python, Data Quality	ETL	Data Integration	SQL	Data Modeling	Python	Data Quality
PMIS Testing Intern	Validate	Chandigarh	Onsite	8	15000	Prepare and execute test plans, automate test cases and report defects in Jira.	Test Plans, Automation, Jira, Test Execution, Scripting, Attention to Detail	Test Plans	Automation	Jira	Test Execution	Scripting	Attention to Detail
PMIS Configuration Intern	AdminCore	Gurgaon	Hybrid	12	20000	Configure PMIS system settings, manage permissions and maintain SharePoint integrations.	System Config, Permissions, SharePoint, Admin Tasks, Documentation, User Management	System Config	Permissions	SharePoint	Admin Tasks	Documentation	User Management
PMIS Migration Intern	BridgeMove	Noida	Onsite	12	22000	Plan and execute data migrations, validate migrated records and resolve reconciliation issues.	Migration Planning, ETL, Validation, Data Mapping, SQL, Backup & Restore	Migration Planning	ETL	Validation	Data Mapping	SQL	Backup & Restore
PMIS & Primavera Intern	SchedPro	Kochi	Onsite	16	24000	Manage Primavera P6 schedules, maintain baselines and perform schedule risk assessments.	Primavera P6, Baseline Management, Risk, Schedule Control, Excel, Reporting	Primavera P6	Baseline Management	Risk	Schedule Control	Excel	Reporting
PMIS Power BI Intern	ReportLabWorks	Thiruvananthapuram	Hybrid	12	23000	Create Power BI reports and visualizations; optimize queries and maintain data models for PMIS dashboards.	Power BI, Visuals, SQL, Data Modeling, DAX, Performance Tuning	Power BI	Visuals	SQL	Data Modeling	DAX	Performance Tuning
PMIS Intern	CoreLink	Surat	Onsite	12	15000	Support PMO activities, maintain MS Project schedules and assist with regular reporting tasks.	MS Project, PMO Support, Excel, Reporting, Communication, Time Management	MS Project	PMO Support	Excel	Reporting	Communication	Time Management
Project Controls Intern	Manage	Vadodara	Onsite	16	24000	Assist in budgeting, EVM calculations and Primavera P6 schedule maintenance.	Budgeting, EVM, Primavera P6, Cost Tracking, Excel, Analytical Skills	Budgeting	EVM	Primavera P6	Cost Tracking	Excel	Analytical Skills
PMIS Reporting Intern	DashPoint	Nagpur	Hybrid	12	20000	Develop and maintain Power BI reports and SQL-based datasets for PMIS stakeholders.	Power BI, Report Development, SQL, Data Visualization, DAX, Stakeholder Reporting	Power BI	Report Dev	SQL	Data Visualization	DAX	Stakeholder Reporting
PMIS Data Integration Intern	Integrate	Indore	Onsite	12	23000	Integrate APIs and ETL processes to consolidate project data across PMIS systems.	API, ETL, Data Mapping, Data Quality, SQL, Integration Testing	API	ETL	Data Mapping	Data Quality	SQL	Integration Testing
Project Management Intern (PMIS)	Navigator	Dehradun	Onsite	12	21000	Support project coordination, maintain Gantt schedules and liaise with stakeholders.	Project Coordination, Gantt, Stakeholder Management, MS Project, Communication, Reporting	Project Coordination	Gantt	Stakeholder Management	MS Project	Communication	Reporting
PMO Analyst Intern	PMOFlow	Mangalore	Hybrid	12	19000	Support PMO tasks including resource planning, reporting and project tracking in Excel.	PMO Tasks, Resource Planning, Excel, Reporting, Coordination, Documentation	PMO Tasks	Resource Planning	Excel	Reporting	Coordination	Documentation
Project Controls & PMIS Intern	ConstructPro	Ranchi	Onsite	16	23000	Work on EVM, schedule control and Primavera updates to support project recovery plans.	EVM, Schedule Control, Primavera, Risk Assessment, Excel, Problem Solving	EVM	Schedule Control	Primavera	Risk Assessment	Excel	Problem Solving
PMIS Implementation Intern	Onboard	Bhubaneswar	Onsite	12	22000	Manage user onboarding, deliver trainings and maintain Confluence implementation docs.	User Onboarding, Training, Confluence, Implementation, Documentation, User Support	User Onboarding	Training	Confluence	Implementation	Documentation	User Support
PMIS QA Intern	InspectWorks	Guwahati	Onsite	8	15000	Execute QA test cases, report defects and collaborate with dev teams using Jira.	QA, Test Execution, Jira, Test Cases, Defect Tracking, Communication	QA	Test Execution	Jira	Test Cases	Defect Tracking	Communication
PMIS Dashboard Intern	VisualCore	Shillong	Hybrid	12	20000	Design and publish PMIS dashboards in Power BI, implement DAX measures and define KPIs.	Power BI, Dashboards, DAX, SQL, KPI Definition, Data Modeling	Power BI	Dashboards	DAX	SQL	KPI Definition	Data Modeling
PMIS Automation Intern	AutoNet	Goa	Onsite	12	27000	Build automation and API integrations to connect PMIS systems, develop Python scripts and maintain CI processes.	Automation, Python, API Integration, Scripting, CI/CD, Testing	Automation	Python	API Integration	Scripting	CI/CD	Testing
EVM & PMIS Intern	CostTrack	Remote	Remote	12	20000	Perform cost tracking and EVM analysis remotely; prepare variance reports and forecasts.	EVM, Cost Tracking, MS Project, Excel, Forecasting, Reporting	EVM	Cost Tracking	MS Project	Excel	Forecasting	Reporting
PMIS Business Analyst Intern	ProcessCore	Delhi	Hybrid	12	23000	Elicit requirements, model processes using BPMN and produce PMIS documentation and user stories.	Requirements, BPMN, Documentation, Stakeholder Engagement, Analysis, Excel	Requirements	BPMN	Documentation	Stakeholder Engagement	Analysis	Excel
PMIS Support Intern	SupportLink	Mumbai	Onsite	12	16000	Provide user support, troubleshoot PMIS issues and create knowledge base articles and guides.	User Support, Troubleshooting, Documentation, Communication, Ticketing, Training	User Support	Troubleshooting	Documentation	Communication	Ticketing	Training
